1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
314,1.2494347,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
315,1.4026099,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
316,1.3425156,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
317,1.5920237,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
318,1.456576,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
319,1.4937967,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
320,1.4950011,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
321,1.02458,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
322,1.1241438,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
323,1.1204991,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
324,1.0863914,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
325,1.1431535,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
326,1.0416874,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
327,1.0686989,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
328,1.3072668,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
329,1.2054062,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
330,1.195103,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
331,1.063094,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
332,1.1092302,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
333,1.1755099,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
334,1.0980133,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
335,1.3438141,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
336,1.3305357,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
337,1.0241164,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
338,1.05279,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
339,1.0910884,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
340,1.1165525,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
341,1.0542581,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
342,0.98434246,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
343,1.0313232,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
344,1.0356287,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1
345,1.136891,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
346,1.2153445,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
347,1.1445771,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0
348,1.0523835,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1
349,1.1577933,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0
350,1.125116,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1
351,1.3912345,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0
352,1.3601887,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
353,1.0913265,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
354,1.0963511,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
355,1.1685483,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
356,1.1495194,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
357,1.1872232,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
